Training data,New data,Ensemble,Trait.1,Trait.2,Trait.3,Hybrid,Network.1,Network.2,Network.3,Network.4
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,NA,False -,False -,False -
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,False -,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Unreported,Unreported,Suspected,Suspected,Suspected,NA,Suspected,NA,NA,NA,NA
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,NA,False -,False -,False -
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,NA,False -,False -,False -
Reported,Reported,True +,True +,True +,True +,True +,NA,False -,False -,False -
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,True +,True +,True +,True +,True +,NA,False -,False -,False -
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,New data,Suspected,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Reported,Reported,True +,True +,True +,True +,True +,NA,False -,False -,False -
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,True +,True +,True +,NA,True +,True +,True +,True +,True +
Unreported,New data,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,False -,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,False -
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,NA,False -,False -,False -
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,NA,False -,False -,False -
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,False -
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Unreported,New data,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Suspected
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Unlikely,Unlikely
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,False -
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Reported,Reported,True +,True +,True +,True +,False -,True +,True +,True +,True +
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Reported,Reported,True +,True +,True +,True +,True +,NA,False -,False -,False -
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,True +,True +,True +,True +,True +,NA,False -,False -,False -
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Suspected
Reported,Reported,True +,True +,True +,True +,False -,NA,False -,False -,False -
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Reported,Reported,True +,True +,True +,True +,True +,NA,False -,False -,False -
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,NA,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,False -,True +,True +,True +,True +,NA,False -,False -,False -
Unreported,New data,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Reported,Reported,False -,True +,True +,True +,True +,NA,False -,False -,False -
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,True +,False -,True +,True +,True +,True +,True +,True +,True +
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Unlikely,Unlikely
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Reported,Reported,False -,True +,True +,True +,True +,True +,True +,False -,True +
Reported,Reported,False -,True +,True +,True +,True +,NA,False -,False -,False -
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,NA,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,Unlikely,Unlikely,Suspected
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Reported,Reported,False -,True +,True +,True +,True +,NA,False -,False -,False -
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Reported,Reported,True +,True +,True +,True +,True +,NA,False -,False -,False -
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,False -,True +,True +,NA,True +,NA,False -,False -,False -
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,NA,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Suspected,Suspected,Suspected
Unreported,New data,Suspected,Suspected,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Suspected
Reported,Reported,True +,True +,True +,True +,True +,True +,True +,True +,True +
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,NA,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,False -,True +,True +,False -,True +,NA,False -,False -,False -
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Suspected,Unlikely,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,NA,Unlikely,NA,NA,NA,NA
Unreported,New data,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,True +,False -,True +,False -,True +,True +,True +,True +,True +
